settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
13009930262						Order	204-3869283-4293128	204-3869283-4293128		DJpvcQFP7	Amazon.co.uk	ItemPrice	Tax	8.83	AFN	14.03.2020	14.03.2020 11:28:56 UTC	03550688668539			Rofee Kitchen	1	
13009930262						Order	204-3869283-4293128	204-3869283-4293128		DJpvcQFP7	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-5.05	AFN	14.03.2020	14.03.2020 11:28:56 UTC	03550688668539			Rofee Kitchen	1	
13009930262						Order	204-3869283-4293128	204-3869283-4293128		DJpvcQFP7	Amazon.co.uk	ItemFees	Commission	-6.36	AFN	14.03.2020	14.03.2020 11:28:56 UTC	03550688668539			Rofee Kitchen	1	
13009930262						Order	203-4670612-8146756	203-4670612-8146756		DGZhyZ67F	Amazon.co.uk	ItemPrice	Principal	41.66	AFN	08.03.2020	08.03.2020 18:17:26 UTC	18776766921651			Rofee Kitchen	1	
13009930262						Order	203-4670612-8146756	203-4670612-8146756		DGZhyZ67F	Amazon.co.uk	ItemPrice	Tax	8.33	AFN	08.03.2020	08.03.2020 18:17:26 UTC	18776766921651			Rofee Kitchen	1	
13009930262						Order	203-4670612-8146756	203-4670612-8146756		DGZhyZ67F	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-5.05	AFN	08.03.2020	08.03.2020 18:17:26 UTC	18776766921651			Rofee Kitchen	1	
13009930262						Order	203-4670612-8146756	203-4670612-8146756		DGZhyZ67F	Amazon.co.uk	ItemFees	Commission	-6.00	AFN	08.03.2020	08.03.2020 18:17:26 UTC	18776766921651			Rofee Kitchen	1	
13009930262						Order	026-7357912-9159569	026-7357912-9159569		Dc9gB9FGs	Amazon.co.uk	ItemPrice	Principal	44.16	AFN	11.03.2020	11.03.2020 11:25:53 UTC	26692400472011			Rofee Kitchen	1	
13009930262						Order	026-7357912-9159569	026-7357912-9159569		Dc9gB9FGs	Amazon.co.uk	ItemPrice	Tax	8.83	AFN	11.03.2020	11.03.2020 11:25:53 UTC	26692400472011			Rofee Kitchen	1	
13009930262						Order	026-7357912-9159569	026-7357912-9159569		Dc9gB9FGs	Amazon.co.uk	ItemPrice	Shipping	3.74	AFN	11.03.2020	11.03.2020 11:25:53 UTC	26692400472011			Rofee Kitchen	1	
