settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
12825695022	19.01.2020 12:43:44 UTC	02.02.2020 12:43:45 UTC	04.02.2020 12:43:45 UTC	98.24	GBP																		
12825695022						Order	203-6672551-3810768	203-6672551-3810768		D1b3QG1BL	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	27.01.2020	27.01.2020 22:14:59 UTC	36504019637379			mb109-a1932-coeudc1	1	
12825695022						Order	203-6672551-3810768	203-6672551-3810768		D1b3QG1BL	Amazon.co.uk	ItemPrice	Tax	3.33	AFN	27.01.2020	27.01.2020 22:14:59 UTC	36504019637379			mb109-a1932-coeudc1	1	
12825695022						Order	203-6672551-3810768	203-6672551-3810768		D1b3QG1BL	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	27.01.2020	27.01.2020 22:14:59 UTC	36504019637379			mb109-a1932-coeudc1	1	
12825695022						Order	203-6672551-3810768	203-6672551-3810768		D1b3QG1BL	Amazon.co.uk	ItemFees	Commission	-2.40	AFN	27.01.2020	27.01.2020 22:14:59 UTC	36504019637379			mb109-a1932-coeudc1	1	
12825695022						Order	205-9481346-2373901	205-9481346-2373901		D1ZHYdHtF	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	28.01.2020	28.01.2020 17:46:16 UTC	16982908261139			mb003-a1707-coeudc1	1	
12825695022						Order	205-9481346-2373901	205-9481346-2373901		D1ZHYdHtF	Amazon.co.uk	ItemPrice	Tax	3.33	AFN	28.01.2020	28.01.2020 17:46:16 UTC	16982908261139			mb003-a1707-coeudc1	1	
12825695022						Order	205-9481346-2373901	205-9481346-2373901		D1ZHYdHtF	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	28.01.2020	28.01.2020 17:46:16 UTC	16982908261139			mb003-a1707-coeudc1	1	
12825695022						Order	205-9481346-2373901	205-9481346-2373901		D1ZHYdHtF	Amazon.co.uk	ItemFees	Commission	-2.40	AFN	28.01.2020	28.01.2020 17:46:16 UTC	16982908261139			mb003-a1707-coeudc1	1	
12825695022						Order	203-2245289-2561948	203-2245289-2561948		DwRhbM36c	Amazon.co.uk	ItemPrice	Principal	33.32	AFN	01.02.2020	01.02.2020 17:26:05 UTC	40419301510947			Rofee Kitchen	1	
12825695022						Order	203-2245289-2561948	203-2245289-2561948		DwRhbM36c	Amazon.co.uk	ItemPrice	Tax	6.67	AFN	01.02.2020	01.02.2020 17:26:05 UTC	40419301510947			Rofee Kitchen	1	
12825695022						Order	203-2245289-2561948	203-2245289-2561948		DwRhbM36c	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-5.05	AFN	01.02.2020	01.02.2020 17:26:05 UTC	40419301510947			Rofee Kitchen	1	
12825695022						Order	203-2245289-2561948	203-2245289-2561948		DwRhbM36c	Amazon.co.uk	ItemFees	Commission	-4.80	AFN	01.02.2020	01.02.2020 17:26:05 UTC	40419301510947			Rofee Kitchen	1	
12825695022						Order	026-2791096-9955541	026-2791096-9955541		Dgz7snHkF	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	29.01.2020	29.01.2020 22:14:56 UTC	65073594141763			mb015-a1708-coeudc1	1	
