settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased
13074347912						Order	026-1015511-8132351	026-1015511-8132351		DNKYTnQrF	Amazon.co.uk	ItemPrice	Principal	23.32	AFN	18.03.2020	18.03.2020 21:49:00 UTC	04356080224891			JV-PP7X-WR6T	1
13074347912						Order	026-1015511-8132351	026-1015511-8132351		DNKYTnQrF	Amazon.co.uk	ItemPrice	Tax	4.67	AFN	18.03.2020	18.03.2020 21:49:00 UTC	04356080224891			JV-PP7X-WR6T	1
13074347912						Order	026-1015511-8132351	026-1015511-8132351		DNKYTnQrF	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.45	AFN	18.03.2020	18.03.2020 21:49:00 UTC	04356080224891			JV-PP7X-WR6T	1
13074347912						Order	026-1015511-8132351	026-1015511-8132351		DNKYTnQrF	Amazon.co.uk	ItemFees	Commission	-3.36	AFN	18.03.2020	18.03.2020 21:49:00 UTC	04356080224891			JV-PP7X-WR6T	1
13074347912						Order	203-5391950-1389928	203-5391950-1389928		DVf0K1F3s	Amazon.co.uk	ItemPrice	Principal	16.66	AFN	19.03.2020	19.03.2020 01:08:44 UTC	53339710710107			mb014-a1706-coeudc1	1
13074347912						Order	203-5391950-1389928	203-5391950-1389928		DVf0K1F3s	Amazon.co.uk	ItemPrice	Tax	3.33	AFN	19.03.2020	19.03.2020 01:08:44 UTC	53339710710107			mb014-a1706-coeudc1	1
13074347912						Order	203-5391950-1389928	203-5391950-1389928		DVf0K1F3s	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.02	AFN	19.03.2020	19.03.2020 01:08:44 UTC	53339710710107			mb014-a1706-coeudc1	1
13074347912						Order	203-5391950-1389928	203-5391950-1389928		DVf0K1F3s	Amazon.co.uk	ItemFees	Commission	-2.40	AFN	19.03.2020	19.03.2020 01:08:44 UTC	53339710710107			mb014-a1706-coeudc1	1
13074347912						Order	203-0295284-7077110	203-0295284-7077110		DCRRNRyvs	Amazon.co.uk	ItemPrice	Principal	14.99	AFN	22.03.2020	22.03.2020 04:03:05 UTC	59879793408699			mb011-a1706-coeudc1	1
13074347912						Order	203-0295284-7077110	203-0295284-7077110		DCRRNRyvs	Amazon.co.uk	ItemPrice	Tax	3.00	AFN	22.03.2020	22.03.2020 04:03:05 UTC	59879793408699			mb011-a1706-coeudc1	1
13074347912						Order	203-0295284-7077110	203-0295284-7077110		DCRRNRyvs	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-2.14	AFN	22.03.2020	22.03.2020 04:03:05 UTC	59879793408699			mb011-a1706-coeudc1	1
